Date,Close,Volume,Symbol,Dayoff
2019-01-02,11058,2910000,ACB,No
2019-01-02,25639,1010000,BID,No
2019-01-02,89000,87080,BVH,No
2019-01-02,19000,2420000,CTG,No
2019-01-02,21478,801490,FPT,No
2019-01-02,86800,417520,GAS,No
2019-01-02,9357,7900,GVR,No
2019-01-02,10938,1860000,HDB,No
2019-01-02,10839,11490000,HPG,No
2019-01-02,18264,144300,KDH,No
2019-01-02,9276,7400000,MBB,No
2019-01-02,78600,433670,MSN,No
2019-01-02,27395,1060000,MWG,No
2019-01-02,35882,860790,NVL,No
2019-01-02,17411,883870,PDR,No
2019-01-02,54400,380020,PLX,No
2019-01-02,248800,46990,SAB,No
2019-01-02,13811,2060000,SSI,No
2019-01-02,11600,3860000,STB,No
2019-01-02,25600,1330000,TCB,No
2019-01-02,12095,168010,TPB,No
2019-01-02,41161,1380000,VCB,No
2019-01-02,55263,434750,VHM,No
2019-01-02,11797,154780,VIB,No
2019-01-02,100400,602450,VIC,No
2019-01-02,117000,509920,VJC,No
2019-01-02,97038,484280,VNM,No
2019-01-02,7185,2800000,VPB,No
2019-01-02,28800,2060000,VRE,No
2019-01-03,10641,5170000,ACB,No
2019-01-03,24491,1390000,BID,No
2019-01-03,89200,55310,BVH,No
2019-01-03,18100,5510000,CTG,No
2019-01-03,21270,1250000,FPT,No
2019-01-03,84700,404480,GAS,No
2019-01-03,9258,17600,GVR,No
2019-01-03,10918,3150000,HDB,No
2019-01-03,10382,18830000,HPG,No
2019-01-03,18264,415220,KDH,No
2019-01-03,8869,17380000,MBB,No
2019-01-03,78000,565640,MSN,No
2019-01-03,26594,2110000,MWG,No
2019-01-03,35047,1130000,NVL,No
2019-01-03,17273,772690,PDR,No
2019-01-03,53600,450490,PLX,No
2019-01-03,245500,98800,SAB,No
2019-01-03,13551,2830000,SSI,No
2019-01-03,11100,6280000,STB,No
2019-01-03,25000,1810000,TCB,No
2019-01-03,11822,144820,TPB,No
2019-01-03,41161,1370000,VCB,No
2019-01-03,55037,617770,VHM,No
2019-01-03,11598,137370,VIB,No
2019-01-03,100300,496950,VIC,No
2019-01-03,116200,579590,VJC,No
2019-01-03,96177,539680,VNM,No
2019-01-03,7037,8150000,VPB,No
2019-01-03,27700,1250000,VRE,No
2019-01-04,10717,7320000,ACB,No
2019-01-04,24146,1830000,BID,No
2019-01-04,88600,96940,BVH,No
2019-01-04,18350,3800000,CTG,No
2019-01-04,21426,556130,FPT,No
2019-01-04,84500,336550,GAS,No
2019-01-04,9258,20830,GVR,No
2019-01-04,11248,2910000,HDB,No
2019-01-04,10452,15990000,HPG,No
2019-01-04,18264,259279,KDH,No
2019-01-04,8917,12300000,MBB,No
2019-01-04,76200,463070,MSN,No
2019-01-04,26786,1300000,MWG,No
2019-01-04,35159,1130000,NVL,No
2019-01-04,17376,711140,PDR,No
2019-01-04,54900,302070,PLX,No
2019-01-04,243200,8540,SAB,No
2019-01-04,13551,2089999,SSI,No
2019-01-04,11150,3830000,STB,No
2019-01-04,24950,2970000,TCB,No
2019-01-04,11791,269430,TPB,No
2019-01-04,41775,1670000,VCB,No
2019-01-04,55639,360930,VHM,No
2019-01-04,11665,131640,VIB,No
2019-01-04,100600,458000,VIC,No
2019-01-04,115000,882080,VJC,No
2019-01-04,97820,598160,VNM,No
2019-01-04,7018,5210000,VPB,No
2019-01-04,27500,982790,VRE,No
2019-01-05,10717,7320000,ACB,Yes
2019-01-05,24146,1830000,BID,Yes
2019-01-05,88600,96940,BVH,Yes
2019-01-05,18350,3800000,CTG,Yes
2019-01-05,21426,556130,FPT,Yes
2019-01-05,84500,336550,GAS,Yes
2019-01-05,9258,20830,GVR,Yes
2019-01-05,11248,2910000,HDB,Yes
2019-01-05,10452,15990000,HPG,Yes
2019-01-05,18264,259279,KDH,Yes
2019-01-05,8917,12300000,MBB,Yes
2019-01-05,76200,463070,MSN,Yes
2019-01-05,26786,1300000,MWG,Yes
2019-01-05,35159,1130000,NVL,Yes
2019-01-05,17376,711140,PDR,Yes
2019-01-05,54900,302070,PLX,Yes
2019-01-05,243200,8540,SAB,Yes
2019-01-05,13551,2089999,SSI,Yes
2019-01-05,11150,3830000,STB,Yes
2019-01-05,24950,2970000,TCB,Yes
2019-01-05,11791,269430,TPB,Yes
2019-01-05,41775,1670000,VCB,Yes
2019-01-05,55639,360930,VHM,Yes
2019-01-05,11665,131640,VIB,Yes
