Symbol,Date,Close,Volume,Dayoff
ACB,2019-01-02,11058.0,2910000.0,No
BID,2019-01-02,25639.0,1010000.0,No
BVH,2019-01-02,89000.0,87080.0,No
CTG,2019-01-02,19000.0,2420000.0,No
FPT,2019-01-02,21478.0,801490.0,No
GAS,2019-01-02,86800.0,417520.0,No
GVR,2019-01-02,9357.0,7900.0,No
HDB,2019-01-02,10938.0,1860000.0,No
HPG,2019-01-02,10839.0,11490000.0,No
KDH,2019-01-02,18264.0,144300.0,No
MBB,2019-01-02,9276.0,7400000.0,No
MSN,2019-01-02,78600.0,433670.0,No
MWG,2019-01-02,27395.0,1060000.0,No
NVL,2019-01-02,35882.0,860790.0,No
PDR,2019-01-02,17411.0,883870.0,No
PLX,2019-01-02,54400.0,380020.0,No
SAB,2019-01-02,248800.0,46990.0,No
SSI,2019-01-02,13811.0,2060000.0,No
STB,2019-01-02,11600.0,3860000.0,No
TCB,2019-01-02,25600.0,1330000.0,No
TPB,2019-01-02,12095.0,168010.0,No
VCB,2019-01-02,41161.0,1380000.0,No
VHM,2019-01-02,55263.0,434750.0,No
VIB,2019-01-02,11797.0,154780.0,No
VIC,2019-01-02,100400.0,602450.0,No
VJC,2019-01-02,117000.0,509920.0,No
VNM,2019-01-02,97038.0,484280.0,No
VPB,2019-01-02,7185.0,2800000.0,No
VRE,2019-01-02,28800.0,2060000.0,No
ACB,2019-01-03,10641.0,5170000.0,No
BID,2019-01-03,24491.0,1390000.0,No
BVH,2019-01-03,89200.0,55310.0,No
CTG,2019-01-03,18100.0,5510000.0,No
FPT,2019-01-03,21270.0,1250000.0,No
GAS,2019-01-03,84700.0,404480.0,No
GVR,2019-01-03,9258.0,17600.0,No
HDB,2019-01-03,10918.0,3150000.0,No
HPG,2019-01-03,10382.0,18830000.0,No
KDH,2019-01-03,18264.0,415220.0,No
MBB,2019-01-03,8869.0,17380000.0,No
MSN,2019-01-03,78000.0,565640.0,No
MWG,2019-01-03,26594.0,2110000.0,No
NVL,2019-01-03,35047.0,1130000.0,No
PDR,2019-01-03,17273.0,772690.0,No
PLX,2019-01-03,53600.0,450490.0,No
SAB,2019-01-03,245500.0,98800.0,No
SSI,2019-01-03,13551.0,2830000.0,No
