Symbol,Date,Close,Volume,MA10,MA20,MA50,Price_change_in_day,Price_change_in_week,Price_change_in_month,Price_change_in_6mongth,Price_change_in_year
ACB,2022-10-16,20850,24980,21245.45,22152.38,23668.63,11.8,-6.08,-14.2,-23.01,-16.87
BID,2022-10-16,33000,8530,32322.73,33857.14,36852.94,13.01,-2.65,-12.7,-21.24,6.37
BVH,2022-10-16,50700,5730,52245.45,53952.38,56094.12,5.19,-5.23,-10.42,-20.16,-15.98
CTG,2022-10-16,22700,17740,22222.73,24121.43,26605.88,13.78,-2.16,-17.0,-29.17,-21.03
FPT,2022-10-16,74000,3390,77718.18,80400.0,83393.08,0.0,-8.07,-11.9,-17.2,-9.17
GAS,2022-10-16,109800,1990,107527.27,109314.29,111600.0,7.65,-0.18,-1.96,2.35,0.35
GVR,2022-10-16,16450,9160,19763.64,21864.29,23667.65,-0.9,-21.29,-36.24,-54.81,-56.13
HDB,2022-10-16,17000,2410,18500.91,19210.95,19991.18,-2.58,-11.23,-18.58,-24.78,-12.73
HPG,2022-10-16,19450,67080,20209.09,21635.71,22696.08,10.51,-8.25,-15.43,-44.61,-53.86
KDH,2022-10-16,26500,3530,27536.36,30516.67,34904.9,6.0,-5.53,-24.93,-42.73,-33.07
MBB,2022-10-16,17800,50210,19054.55,20328.57,21808.04,5.01,-11.0,-22.61,-35.66,-22.89
MSN,2022-10-16,79000,5620,94509.09,102942.86,107401.96,-3.07,-20.2,-29.46,-35.69,-34.37
MWG,2022-10-16,59900,9340,62072.73,66771.43,66623.53,10.93,-6.41,-15.28,-19.61,-6.38
NVL,2022-10-16,76000,50070,82190.91,83333.33,82100.0,-3.8,-10.48,-9.31,-11.01,-4.73
PDR,2022-10-16,48950,6440,50477.27,51097.62,53275.49,-1.11,-4.21,-9.01,-26.68,-23.31
PLX,2022-10-16,33700,2500,33518.18,35978.57,39554.9,5.97,2.43,-15.75,-40.04,-37.48
POW,2022-10-16,10800,47590,11959.09,12873.81,13467.65,1.41,-12.55,-22.86,-33.33,-13.25
SAB,2022-10-16,188400,80,185590.91,186519.05,186603.92,0.75,1.84,0.21,14.74,18.35
SSI,2022-10-16,17900,82470,18627.27,19811.9,22277.45,6.55,-9.6,-20.62,-53.15,-50.68
STB,2022-10-16,17650,76310,19200.0,20704.76,23230.39,5.37,-14.32,-27.52,-43.06,-31.32
TCB,2022-10-16,25700,17090,30800.0,33159.52,36381.37,-5.69,-20.92,-31.56,-47.39,-49.31
TPB,2022-10-16,20600,27400,23886.36,24857.14,26753.92,-7.83,-17.6,-24.54,-48.76,-34.02
VCB,2022-10-16,68100,5210,71800.0,75038.1,78443.14,2.1,-6.97,-14.88,-17.95,-9.32
VHM,2022-10-16,51900,47250,52436.36,55690.48,58639.22,-3.53,2.37,-12.77,-28.87,-33.15
VIB,2022-10-16,20200,3530,21595.45,22109.52,24148.04,1.0,-8.18,-17.55,-39.4,-21.19
VIC,2022-10-16,59700,20250,58418.18,60776.19,63401.96,-0.83,8.55,-4.48,-26.93,-33.15
VJC,2022-10-16,109000,6700,111618.18,113547.62,119423.53,-5.22,-1.71,-4.3,-21.24,-15.44
VNM,2022-10-16,74000,6860,71863.64,73690.48,73996.08,6.02,2.35,-2.25,-0.98,-13.14
VPB,2022-10-16,16149,73330,17269.55,18555.33,19535.04,5.21,-10.28,-20.05,-37.57,-32.52
VRE,2022-10-16,25200,4500,26622.73,27669.05,28245.1,-3.08,-10.0,-8.86,-21.74,-13.55
