Symbol,Date,Close,Volume,MA10,MA20,MA50,Price_change_in_day,Price_change_in_week,Price_change_in_month,Price_change_in_6mongth,Price_change_in_year
MSN,2022-11-01,86500,112860,80154.55,81423.81,98625.49,1.17,15.33,-12.63,-24.88,-28.13
TPB,2022-11-01,21800,588430,20590.91,21100.0,24328.43,5.31,8.19,-12.8,-35.12,-32.19
GVR,2022-11-01,14500,125910,14845.45,15802.38,20701.96,0.69,9.02,-30.62,-49.74,-63.57
CTG,2022-11-01,24450,883150,23090.91,22257.14,24677.45,-0.61,8.91,5.39,-11.89,-22.21
NVL,2022-11-01,70000,121870,73681.82,75600.0,80345.1,0.0,-6.67,-17.55,-14.63,-16.33
VHM,2022-11-01,45000,262280,46368.18,49250.0,54544.12,0.0,0.9,-11.24,-28.75,-45.06
POW,2022-11-01,10350,493380,10413.64,10700.0,12429.41,0.0,3.81,-16.19,-21.29,-20.99
SAB,2022-11-01,183600,17070,187527.27,187028.57,187484.31,-0.92,-2.24,-0.76,13.26,15.83
FPT,2022-11-01,75500,56150,74736.36,74604.76,79925.55,-0.13,3.14,-6.21,-12.71,-4.33
HPG,2022-11-01,15000,8155230,17045.45,17804.76,20846.08,-4.15,-12.28,-29.25,-54.23,-64.42
MBB,2022-11-01,18000,2085360,17050.0,17321.43,20121.57,1.69,9.76,-10.0,-27.52,-23.94
VIB,2022-11-01,20150,500230,19636.36,19911.9,22099.02,2.81,4.68,-8.41,-36.74,-25.68
STB,2022-11-01,16900,2945840,16190.73,16861.81,20493.1,4.65,13.42,-17.96,-38.99,-36.47
BID,2022-11-01,34050,161520,32836.36,31966.67,34734.31,-1.45,8.79,0.44,-8.59,2.93
VCB,2022-11-01,75000,82610,70227.27,68766.67,74792.16,2.04,7.3,2.46,-7.29,-0.13
GAS,2022-11-01,110000,45130,109154.55,108142.86,110894.12,-0.99,2.61,0.0,6.6,-6.84
VNM,2022-11-01,80200,318010,77163.64,74538.1,74945.1,2.17,5.53,10.93,11.81,-6.28
SSI,2022-11-01,16950,2232810,16277.27,16854.76,19977.45,3.99,12.62,-14.39,-43.14,-53.92
BVH,2022-11-01,53000,103640,51022.73,50159.52,53751.96,0.95,6.0,-0.93,-14.65,-16.14
TCB,2022-11-01,25650,860340,23590.91,25121.43,31802.94,4.27,20.42,-21.08,-41.7,-50.29
MWG,2022-11-01,50100,199920,53954.55,55957.14,64078.43,-2.91,-3.65,-21.72,-32.41,-22.42
VPB,2022-11-01,17200,2562860,16022.73,16033.33,18343.0,5.2,11.33,-4.44,-29.7,-31.29
PDR,2022-11-01,42400,198970,46563.64,48092.86,51104.9,-2.97,-9.21,-17.03,-31.72,-37.93
PLX,2022-11-01,29100,78790,30204.55,31521.43,36192.16,2.11,3.93,-11.55,-39.38,-46.01
KDH,2022-11-01,22800,156750,23445.45,24657.14,30338.24,0.44,8.57,-18.72,-47.64,-48.82
VIC,2022-11-01,55400,141910,56472.73,57847.62,60721.57,0.0,-1.25,0.73,-30.75,-42.17
HDB,2022-11-01,16600,349350,16436.36,16838.1,18820.2,1.22,3.75,-13.32,-17.98,-17.98
ACB,2022-11-01,22450,335540,21272.73,20528.57,22336.27,0.22,10.05,1.13,-14.18,-14.96
VRE,2022-11-01,26250,202390,24177.27,24814.29,26808.82,6.71,14.13,-6.25,-15.05,-15.73
VJC,2022-11-01,106300,11130,108018.18,109414.29,113921.57,-1.21,-1.57,-4.15,-18.17,-18.23
